city_name;city_slug;city_regions;city_eng;city_padej1;city_padej2;city_padej3;city_phone;city_address
Лесосибирск;;Красноярский край;;в Лесосибирске;;;;
Ливны;;Орловская область;;в Ливнах;;;;
Ликино-Дулёво;;Московская область;;в Ликино-Дулёво;;;;
Липецк;;Липецкая область;;в Липецке;;;;
Липки;;Тульская область;;в Липках;;;;
Лиски;;Воронежская область;;в Лисках;;;;
Лихославль;;Тверская область;;в Лихославле;;;;
Лобня;;Московская область;;в Лобне;;;;
Лодейное Поле;;Ленинградская область;;в Лодейном Поле;;;;
Лосино-Петровский;;Московская область;;в Лосино-Петровском;;;;
Луга;;Ленинградская область;;в Луге;;;;
Луза;;Кировская область;;в Лузе;;;;
Лукоянов;;Нижегородская область;;в Лукоянове;;;;
Луховицы;;Московская область;;в Луховицах;;;;
Лысково;;Нижегородская область;;в Лысково;;;;
Лысьва;;Пермский край;;в Лысьве;;;;
Лыткарино;;Московская область;;в Лыткарино;;;;
Льгов;;Курская область;;в Льгове;;;;
Любань;;Ленинградская область;;в Любани;;;;
Люберцы;;Московская область;;в Люберцах;;;;
Любим;;Ярославская область;;в Любиме;;;;
Людиново;;Калужская область;;в Людиново;;;;
Лянтор;;Ханты-Мансийский АО;;в Лянторе;;;;
Магадан;;Магаданская область;;в Магадане;;;;
Магас;;Ингушетия;;в Магасе;;;;
Магнитогорск;;Челябинская область;;в Магнитогорске;;;;
Майкоп;;Адыгея;;в Майкопе;;;;
Майский;;Кабардино-Балкария;;в Майском;;;;
Макаров;;Сахалинская область;;в Макарове;;;;
Макарьев;;Костромская область;;в Макарьеве;;;;
Макушино;;Курганская область;;в Макушино;;;;
Малая Вишера;;Новгородская область;;в Малой Вишере;;;;
Малгобек;;Ингушетия;;в Малгобеке;;;;
Малмыж;;Кировская область;;в Малмыже;;;;
Малоархангельск;;Орловская область;;в Малоархангельске;;;;
Малоярославец;;Калужская область;;в Малоярославце;;;;
Мамадыш;;Татарстан;;в Мамадыше;;;;
Мамоново;;Калининградская область;;в Мамоново;;;;
Мантурово;;Костромская область;;в Мантурово;;;;
Мариинск;;Кемеровская область;;в Мариинске;;;;
Мариинский Посад;;Чувашия;;в Мариинском Посаде;;;;
Маркс;;Саратовская область;;в Марксе;;;;
Махачкала;;Дагестан;;в Махачкале;;;;
Мглин;;Брянская область;;в Мглине;;;;
Мегион;;Ханты-Мансийский АО;;в Мегионе;;;;
Медвежьегорск;;Карелия;;в Медвежьегорске;;;;
Медногорск;;Оренбургская область;;в Медногорске;;;;
Медынь;;Калужская область;;в Медыни;;;;
Межгорье;;Башкортостан;;в Межгорье;;;;
Междуреченск;;Кемеровская область;;в Междуреченске;;;;
Мезень;;Архангельская область;;в Мезени;;;;
Меленки;;Владимирская область;;в Меленках;;;;
Мелеуз;;Башкортостан;;в Мелеузе;;;;
Менделеевск;;Татарстан;;в Менделеевске;;;;
Мензелинск;;Татарстан;;в Мензелинске;;;;
Мещовск;;Калужская область;;в Мещовске;;;;
Миасс;;Челябинская область;;в Миассе;;;;
Микунь;;Коми;;в Микуне;;;;
Миллерово;;Ростовская область;;в Миллерово;;;;
Минеральные Воды;;Ставропольский край;;в Минеральных Водах;;;;
Минусинск;;Красноярский край;;в Минусинске;;;;
Миньяр;;Челябинская область;;в Миньяре;;;;
Мирный;;Якутия;;в Мирном;;;;
Мирный;;Архангельская область;;в Мирном;;;;
Михайлов;;Рязанская область;;в Михайлове;;;;
Михайловка;;Волгоградская область;;в Михайловке;;;;
Михайловск;;Свердловская область;;в Михайловске;;;;
Михайловск;;Ставропольский край;;в Михайловске;;;;
Мичуринск;;Тамбовская область;;в Мичуринске;;;;
Могоча;;Забайкальский край;;в Могоче;;;;
Можайск;;Московская область;;в Можайске;;;;
Можга;;Удмуртия;;в Можге;;;;
Моздок;;Северная Осетия;;в Моздоке;;;;
Мончегорск;;Мурманская область;;в Мончегорске;;;;
Морозовск;;Ростовская область;;в Морозовске;;;;
Моршанск;;Тамбовская область;;в Моршанске;;;;
Мосальск;;Калужская область;;в Мосальске;;;;
Москва;;Москва;;в Москве;;;;
Муравленко;;Ямало-Ненецкий АО;;в Муравленко;;;;
Мураши;;Кировская область;;в Мурашах;;;;
Мурино;;Ленинградская область;;в Мурино;;;;
Мурманск;;Мурманская область;;в Мурманске;;;;
Муром;;Владимирская область;;в Муроме;;;;
Мценск;;Орловская область;;в Мценске;;;;
Мыски;;Кемеровская область;;в Мысках;;;;
Мытищи;;Московская область;;в Мытищах;;;;
Мышкин;;Ярославская область;;в Мышкине;;;;
Набережные Челны;;Татарстан;;в Набережных Челнах;;;;
Навашино;;Нижегородская область;;в Навашино;;;;
Наволоки;;Ивановская область;;в Наволоках;;;;
Надым;;Ямало-Ненецкий АО;;в Надыме;;;;
Назарово;;Красноярский край;;в Назарово;;;;
Назрань;;Ингушетия;;в Назрани;;;;
Называевск;;Омская область;;в Называевске;;;;
Нальчик;;Кабардино-Балкария;;в Нальчике;;;;
Нариманов;;Астраханская область;;в Нариманове;;;;
Наро-Фоминск;;Московская область;;в Наро-Фоминске;;;;
Нарткала;;Кабардино-Балкария;;в Нарткале;;;;
Нарьян-Мар;;Ненецкий АО;;в Нарьян-Маре;;;;
Находка;;Приморский край;;в Находке;;;;
Невель;;Псковская область;;в Невеле;;;;
Невельск;;Сахалинская область;;в Невельске;;;;
Невинномысск;;Ставропольский край;;в Невинномысске;;;;
Невьянск;;Свердловская область;;в Невьянске;;;;
Нелидово;;Тверская область;;в Нелидово;;;;
Неман;;Калининградская область;;в Немане;;;;
Нерехта;;Костромская область;;в Нерехте;;;;
Нерчинск;;Забайкальский край;;в Нерчинске;;;;
Нерюнгри;;Якутия;;в Нерюнгри;;;;
Нестеров;;Калининградская область;;в Нестерове;;;;
Нефтегорск;;Самарская область;;в Нефтегорске;;;;
Нефтекамск;;Башкортостан;;в Нефтекамске;;;;
Нефтекумск;;Ставропольский край;;в Нефтекумске;;;;
Нефтеюганск;;Ханты-Мансийский АО;;в Нефтеюганске;;;;
Нея;;Костромская область;;в Нее;;;;
Нижневартовск;;Ханты-Мансийский АО;;в Нижневартовске;;;;
Нижнекамск;;Татарстан;;в Нижнекамске;;;;
Нижнеудинск;;Иркутская область;;в Нижнеудинске;;;;
Нижние Серги;;Свердловская область;;в Нижних Сергах;;;;
Нижний Ломов;;Пензенская область;;в Нижнем Ломове;;;;
Нижний Новгород;;Нижегородская область;;в Нижнем Новгороде;;;;
Нижний Тагил;;Свердловская область;;в Нижнем Тагиле;;;;
Нижняя Салда;;Свердловская область;;в Нижней Салде;;;;
Нижняя Тура;;Свердловская область;;в Нижней Туре;;;;
Николаевск;;Волгоградская область;;в Николаевске;;;;
Николаевск-на-Амуре;;Хабаровский край;;в Николаевск-на-Амуре;;;;
Никольск;;Вологодская область;;в Никольске;;;;
Никольск;;Пензенская область;;в Никольске;;;;
Никольское;;Ленинградская область;;в Никольском;;;;
Новая Ладога;;Ленинградская область;;в Новой Ладоге;;;;
Новая Ляля;;Свердловская область;;в Новой Ляле;;;;
Новоалександровск;;Ставропольский край;;в Новоалександровске;;;;
Новоалтайск;;Алтайский край;;в Новоалтайске;;;;
Новоаннинский;;Волгоградская область;;в Новоаннинском;;;;
Нововоронеж;;Воронежская область;;в Нововоронеже;;;;
Новодвинск;;Архангельская область;;в Новодвинске;;;;
Новозыбков;;Брянская область;;в Новозыбкове;;;;
Новокубанск;;Краснодарский край;;в Новокубанске;;;;
Новокузнецк;;Кемеровская область;;в Новокузнецке;;;;
Новокуйбышевск;;Самарская область;;в Новокуйбышевске;;;;
Новомичуринск;;Рязанская область;;в Новомичуринске;;;;
Новомосковск;;Тульская область;;в Новомосковске;;;;
Новопавловск;;Ставропольский край;;в Новопавловске;;;;
Новоржев;;Псковская область;;в Новоржеве;;;;
Новороссийск;;Краснодарский край;;в Новороссийске;;;;
Новосибирск;;Новосибирская область;;в Новосибирске;;;;
Новосиль;;Орловская область;;в Новосиле;;;;
Новосокольники;;Псковская область;;в Новосокольниках;;;;
Новотроицк;;Оренбургская область;;в Новотроицке;;;;
Новоузенск;;Саратовская область;;в Новоузенске;;;;
Новоульяновск;;Ульяновская область;;в Новоульяновске;;;;
Новоуральск;;Свердловская область;;в Новоуральске;;;;
Новохопёрск;;Воронежская область;;в Новохопёрске;;;;
Новочебоксарск;;Чувашия;;в Новочебоксарске;;;;
Новочеркасск;;Ростовская область;;в Новочеркасске;;;;
Новошахтинск;;Ростовская область;;в Новошахтинске;;;;
Новый Оскол;;Белгородская область;;в Новом Осколе;;;;
Новый Уренгой;;Ямало-Ненецкий АО;;в Новом Уренгое;;;;
Ногинск;;Московская область;;в Ногинске;;;;
Нолинск;;Кировская область;;в Нолинске;;;;
Норильск;;Красноярский край;;в Норильске;;;;
Ноябрьск;;Ямало-Ненецкий АО;;в Ноябрьске;;;;
Нурлат;;Татарстан;;в Нурлате;;;;
Нытва;;Пермский край;;в Нытве;;;;
Нюрба;;Якутия;;в Нюрбе;;;;
Нягань;;Ханты-Мансийский АО;;в Нягани;;;;
Нязепетровск;;Челябинская область;;в Нязепетровске;;;;
Няндома;;Архангельская область;;в Няндоме;;;;
Облучье;;Еврейская АО;;в Облучье;;;;
Обнинск;;Калужская область;;в Обнинске;;;;
Обоянь;;Курская область;;в Обояни;;;;
Обь;;Новосибирская область;;в Оби;;;;
Одинцово;;Московская область;;в Одинцово;;;;
Озёрск;;Калининградская область;;в Озёрске;;;;
Озёрск;;Челябинская область;;в Озёрске;;;;
Озёры;;Московская область;;в Озёрах;;;;
Октябрьск;;Самарская область;;в Октябрьске;;;;
Октябрьский;;Башкортостан;;в Октябрьском;;;;
Окуловка;;Новгородская область;;в Окуловке;;;;
Олёкминск;;Якутия;;в Олёкминске;;;;
Оленегорск;;Мурманская область;;в Оленегорске;;;;
Олонец;;Карелия;;в Олонце;;;;
Омск;;Омская область;;в Омске;;;;
Омутнинск;;Кировская область;;в Омутнинске;;;;
Онега;;Архангельская область;;в Онеге;;;;
Опочка;;Псковская область;;в Опочке;;;;
Орёл;;Орловская область;;в Орле;;;;
Оренбург;;Оренбургская область;;в Оренбурге;;;;
Орехово-Зуево;;Московская область;;в Орехово-Зуево;;;;
Орлов;;Кировская область;;в Орлове;;;;
Орск;;Оренбургская область;;в Орске;;;;
Оса;;Пермский край;;в Осе;;;;
Осинники;;Кемеровская область;;в Осинниках;;;;
Осташков;;Тверская область;;в Осташкове;;;;
Остров;;Псковская область;;на Острове;;;;
Островной;;Мурманская область;;в Островном;;;;
Острогожск;;Воронежская область;;в Острогожске;;;;
Отрадное;;Ленинградская область;;в Отрадном;;;;
Отрадный;;Самарская область;;в Отрадном;;;;
Оха;;Сахалинская область;;в Охе;;;;
Оханск;;Пермский край;;в Оханске;;;;
Очёр;;Пермский край;;в Очёре;;;;
Павлово;;Нижегородская область;;в Павлово;;;;
Павловск;;Воронежская область;;в Павловске;;;;
Павловский Посад;;Московская область;;в Павловском Посаде;;;;
Палласовка;;Волгоградская область;;в Палласовке;;;;
Партизанск;;Приморский край;;в Партизанске;;;;
Певек;;Чукотский АО;;в Певеке;;;;
Пенза;;Пензенская область;;в Пензе;;;;
Первомайск;;Нижегородская область;;в Первомайске;;;;
Первоуральск;;Свердловская область;;в Первоуральске;;;;
Перевоз;;Нижегородская область;;в Перевозе;;;;
Пересвет;;Московская область;;в Пересвете;;;;
Переславль-Залесский;;Ярославская область;;в Переславль-Залесском;;;;
Пермь;;Пермский край;;в Перми;;;;
Пестово;;Новгородская область;;в Пестово;;;;
Петров Вал;;Волгоградская область;;в Петрове Валу;;;;
Петровск;;Саратовская область;;в Петровске;;;;
Петровск-Забайкальский;;Забайкальский край;;в Петровск-Забайкальском;;;;
Петрозаводск;;Карелия;;в Петрозаводске;;;;
Петропавловск-Камчатский;;Камчатский край;;в Петропавловск-Камчатском;;;;
Петухово;;Курганская область;;в Петухово;;;;
Петушки;;Владимирская область;;в Петушках;;;;
Печора;;Коми;;в Печоре;;;;
Печоры;;Псковская область;;в Печорах;;;;
Пикалёво;;Ленинградская область;;в Пикалёво;;;;
Пионерский;;Калининградская область;;в Пионерском;;;;
Питкяранта;;Карелия;;в Питкяранте;;;;
Плавск;;Тульская область;;в Плавске;;;;
Пласт;;Челябинская область;;в Пласте;;;;
Плёс;;Ивановская область;;в Плёсе;;;;
Поворино;;Воронежская область;;в Поворино;;;;
Подольск;;Московская область;;в Подольске;;;;
Подпорожье;;Ленинградская область;;в Подпорожье;;;;
Покачи;;Ханты-Мансийский АО;;в Покачах;;;;
Покров;;Владимирская область;;в Покрове;;;;
Покровск;;Якутия;;в Покровске;;;;
Полевской;;Свердловская область;;в Полевском;;;;
Полесск;;Калининградская область;;в Полесске;;;;
Полысаево;;Кемеровская область;;в Полысаево;;;;
Полярные Зори;;Мурманская область;;в Полярных Зорях;;;;
Полярный;;Мурманская область;;в Полярном;;;;
Поронайск;;Сахалинская область;;в Поронайске;;;;
Порхов;;Псковская область;;в Порхове;;;;
Похвистнево;;Самарская область;;в Похвистнево;;;;
Почеп;;Брянская область;;в Почепе;;;;
Починок;;Смоленская область;;в Починке;;;;
Пошехонье;;Ярославская область;;в Пошехонье;;;;
Правдинск;;Калининградская область;;в Правдинске;;;;
Приволжск;;Ивановская область;;в Приволжске;;;;
Приморск;;Калининградская область;;в Приморске;;;;
Приморск;;Ленинградская область;;в Приморске;;;;
Приморско-Ахтарск;;Краснодарский край;;в Приморско-Ахтарске;;;;
Приозерск;;Ленинградская область;;в Приозерске;;;;
Прокопьевск;;Кемеровская область;;в Прокопьевске;;;;
Пролетарск;;Ростовская область;;в Пролетарске;;;;
Протвино;;Московская область;;в Протвино;;;;
Прохладный;;Кабардино-Балкария;;в Прохладном;;;;
Псков;;Псковская область;;в Пскове;;;;
Пугачёв;;Саратовская область;;в Пугачёве;;;;
Пудож;;Карелия;;в Пудоже;;;;
Пустошка;;Псковская область;;в Пустошке;;;;
Пучеж;;Ивановская область;;в Пучеже;;;;
Пушкино;;Московская область;;в Пушкино;;;;
Пущино;;Московская область;;в Пущино;;;;
Пыталово;;Псковская область;;в Пыталово;;;;
Пыть-Ях;;Ханты-Мансийский АО;;в Пыть-Яхе;;;;
Пятигорск;;Ставропольский край;;в Пятигорске;;;;
Радужный;;Владимирская область;;в Радужном;;;;
Радужный;;Ханты-Мансийский АО;;в Радужном;;;;
Райчихинск;;Амурская область;;в Райчихинске;;;;
Раменское;;Московская область;;в Раменском;;;;
Рассказово;;Тамбовская область;;в Рассказово;;;;
Ревда;;Свердловская область;;в Ревде;;;;
Реж;;Свердловская область;;в Реже;;;;
Реутов;;Московская область;;в Реутове;;;;
Ржев;;Тверская область;;в Ржеве;;;;
Родники;;Ивановская область;;в Родниках;;;;
Рославль;;Смоленская область;;в Рославле;;;;
Россошь;;Воронежская область;;в Россоши;;;;
Ростов-на-Дону;;Ростовская область;;в Ростов-на-Дону;;;;
Ростов;;Ярославская область;;в Ростове;;;;
Рошаль;;Московская область;;в Рошале;;;;
Ртищево;;Саратовская область;;в Ртищево;;;;
Рубцовск;;Алтайский край;;в Рубцовске;;;;
Рудня;;Смоленская область;;в Рудне;;;;
Руза;;Московская область;;в Рузе;;;;
Рузаевка;;Мордовия;;в Рузаевке;;;;
Рыбинск;;Ярославская область;;в Рыбинске;;;;
Рыбное;;Рязанская область;;в Рыбном;;;;
Рыльск;;Курская область;;в Рыльске;;;;
Ряжск;;Рязанская область;;в Ряжске;;;;
Рязань;;Рязанская область;;в Рязани;;;;
Саки;;Крым;;в Саках;;;;
Салават;;Башкортостан;;в Салавате;;;;
Салаир;;Кемеровская область;;в Салаире;;;;
Салехард;;Ямало-Ненецкий АО;;в Салехарде;;;;
Сальск;;Ростовская область;;в Сальске;;;;
Самара;;Самарская область;;в Самаре;;;;
Санкт-Петербург;;Санкт-Петербург;;в Санкт-Петербурге;;;;
Саранск;;Мордовия;;в Саранске;;;;
Сарапул;;Удмуртия;;в Сарапуле;;;;
Саратов;;Саратовская область;;в Саратове;;;;
Саров;;Нижегородская область;;в Сарове;;;;
Сасово;;Рязанская область;;в Сасово;;;;
Сатка;;Челябинская область;;в Сатке;;;;
Сафоново;;Смоленская область;;в Сафоново;;;;
Саяногорск;;Хакасия;;в Саяногорске;;;;
Саянск;;Иркутская область;;в Саянске;;;;
Светлогорск;;Калининградская область;;в Светлогорске;;;;
Светлоград;;Ставропольский край;;в Светлограде;;;;
Светлый;;Калининградская область;;в Светлом;;;;
Светогорск;;Ленинградская область;;в Светогорске;;;;
Свирск;;Иркутская область;;в Свирске;;;;
Свободный;;Амурская область;;в Свободном;;;;
Себеж;;Псковская область;;в Себеже;;;;
Севастополь;;Севастополь;;в Севастополе;;;;
Северо-Курильск;;Сахалинская область;;в Северо-Курильске;;;;
Северобайкальск;;Бурятия;;в Северобайкальске;;;;
Северодвинск;;Архангельская область;;в Северодвинске;;;;
Североморск;;Мурманская область;;в Североморске;;;;
Североуральск;;Свердловская область;;в Североуральске;;;;
Северск;;Томская область;;в Северске;;;;
Севск;;Брянская область;;в Севске;;;;
Сегежа;;Карелия;;в Сегеже;;;;
Сельцо;;Брянская область;;в Сельце;;;;
Семёнов;;Нижегородская область;;в Семёнове;;;;
Семикаракорск;;Ростовская область;;в Семикаракорске;;;;
Семилуки;;Воронежская область;;в Семилуках;;;;
Сенгилей;;Ульяновская область;;в Сенгилее;;;;
Серафимович;;Волгоградская область;;в Серафимовиче;;;;
Сергач;;Нижегородская область;;в Сергаче;;;;
Сергиев Посад;;Московская область;;в Сергиеве Посаде;;;;
Сердобск;;Пензенская область;;в Сердобске;;;;
Серов;;Свердловская область;;в Серове;;;;
Серпухов;;Московская область;;в Серпухове;;;;
Сертолово;;Ленинградская область;;в Сертолово;;;;
Сибай;;Башкортостан;;в Сибае;;;;
Сим;;Челябинская область;;в Симе;;;;
Симферополь;;Крым;;в Симферополе;;;;
Сковородино;;Амурская область;;в Сковородино;;;;
Скопин;;Рязанская область;;в Скопине;;;;
Славгород;;Алтайский край;;в Славгороде;;;;
Славск;;Калининградская область;;в Славске;;;;
Славянск-на-Кубани;;Краснодарский край;;на Славянск-на-Кубанях;;;;
Сланцы;;Ленинградская область;;в Сланцах;;;;
Слободской;;Кировская область;;в Слободском;;;;
Слюдянка;;Иркутская область;;в Слюдянке;;;;
Смоленск;;Смоленская область;;в Смоленске;;;;
Снежинск;;Челябинская область;;в Снежинске;;;;
Снежногорск;;Мурманская область;;в Снежногорске;;;;
Собинка;;Владимирская область;;в Собинке;;;;
Советск;;Калининградская область;;в Советске;;;;
Советск;;Кировская область;;в Советске;;;;
Советск;;Тульская область;;в Советске;;;;
Советская Гавань;;Хабаровский край;;в Советской Гавани;;;;
Советский;;Ханты-Мансийский АО;;в Советском;;;;
Сокол;;Вологодская область;;в Соколе;;;;
Солигалич;;Костромская область;;в Солигаличе;;;;
Соликамск;;Пермский край;;в Соликамске;;;;
Солнечногорск;;Московская область;;в Солнечногорске;;;;
Соль-Илецк;;Оренбургская область;;в Соль-Илецке;;;;
Сольвычегодск;;Архангельская область;;в Сольвычегодске;;;;
Сольцы;;Новгородская область;;в Сольцах;;;;
Сорочинск;;Оренбургская область;;в Сорочинске;;;;
Сорск;;Хакасия;;в Сорске;;;;
Сортавала;;Карелия;;в Сортавале;;;;
Сосенский;;Калужская область;;в Сосенском;;;;
Сосновка;;Кировская область;;в Сосновке;;;;
Сосновоборск;;Красноярский край;;в Сосновоборске;;;;
Сосновый Бор;;Ленинградская область;;в Сосновом Бору;;;;
Сосногорск;;Коми;;в Сосногорске;;;;
Сочи;;Краснодарский край;;в Сочи;;;;
Спас-Деменск;;Калужская область;;в Спас-Деменске;;;;
Спас-Клепики;;Рязанская область;;в Спас-Клепиках;;;;
Спасск;;Пензенская область;;в Спасске;;;;
Спасск-Дальний;;Приморский край;;в Спасск-Дальнем;;;;
Спасск-Рязанский;;Рязанская область;;в Спасск-Рязанском;;;;
Среднеколымск;;Якутия;;в Среднеколымске;;;;
Среднеуральск;;Свердловская область;;в Среднеуральске;;;;
Сретенск;;Забайкальский край;;в Сретенске;;;;
Ставрополь;;Ставропольский край;;в Ставрополе;;;;
Старая Купавна;;Московская область;;в Старой Купавне;;;;
Старая Русса;;Новгородская область;;в Старой Руссе;;;;
Старица;;Тверская область;;в Старице;;;;
Стародуб;;Брянская область;;в Стародубе;;;;
Старый Крым;;Крым;;в Старом Крыму;;;;
Старый Оскол;;Белгородская область;;в Старом Осколе;;;;
Стерлитамак;;Башкортостан;;в Стерлитамаке;;;;
Стрежевой;;Томская область;;в Стрежевом;;;;
Строитель;;Белгородская область;;в Строителе;;;;
Струнино;;Владимирская область;;в Струнино;;;;
Ступино;;Московская область;;в Ступино;;;;
Суворов;;Тульская область;;в Суворове;;;;
Судак;;Крым;;в Судаке;;;;
Суджа;;Курская область;;в Судже;;;;
Судогда;;Владимирская область;;в Судогде;;;;
Суздаль;;Владимирская область;;в Суздале;;;;
Сунжа;;Ингушетия;;в Сунже;;;;
Суоярви;;Карелия;;в Суоярви;;;;
Сураж;;Брянская область;;в Сураже;;;;
Сургут;;Ханты-Мансийский АО;;в Сургуте;;;;
Суровикино;;Волгоградская область;;в Суровикино;;;;
Сурск;;Пензенская область;;в Сурске;;;;
Сусуман;;Магаданская область;;в Сусумане;;;;
Сухиничи;;Калужская область;;в Сухиничах;;;;
Сухой Лог;;Свердловская область;;в Сухом Логу;;;;
Сызрань;;Самарская область;;в Сызрани;;;;
Сыктывкар;;Коми;;в Сыктывкаре;;;;
Сысерть;;Свердловская область;;в Сысерти;;;;
Сычёвка;;Смоленская область;;в Сычёвке;;;;
Сясьстрой;;Ленинградская область;;в Сясьстрое;;;;
Тавда;;Свердловская область;;в Тавде;;;;
Таганрог;;Ростовская область;;в Таганроге;;;;
Тайга;;Кемеровская область;;в Тайге;;;;
Тайшет;;Иркутская область;;в Тайшете;;;;
Талдом;;Московская область;;в Талдоме;;;;
Талица;;Свердловская область;;в Талице;;;;
Тамбов;;Тамбовская область;;в Тамбове;;;;
Тара;;Омская область;;в Таре;;;;
Тарко-Сале;;Ямало-Ненецкий АО;;в Тарко-Сале;;;;
Таруса;;Калужская область;;в Тарусе;;;;
Татарск;;Новосибирская область;;в Татарске;;;;
Таштагол;;Кемеровская область;;в Таштаголе;;;;
Тверь;;Тверская область;;в Твери;;;;
Теберда;;Карачаево-Черкесия;;в Теберде;;;;
Тейково;;Ивановская область;;в Тейково;;;;
Темников;;Мордовия;;в Темникове;;;;
Темрюк;;Краснодарский край;;в Темрюке;;;;
Терек;;Кабардино-Балкария;;в Тереке;;;;
Тетюши;;Татарстан;;в Тетюшах;;;;
Тимашёвск;;Краснодарский край;;в Тимашёвске;;;;
Тихвин;;Ленинградская область;;в Тихвине;;;;
Тихорецк;;Краснодарский край;;в Тихорецке;;;;
Тобольск;;Тюменская область;;в Тобольске;;;;
Тогучин;;Новосибирская область;;в Тогучине;;;;
Тольятти;;Самарская область;;в Тольятти;;;;
Томари;;Сахалинская область;;в Томари;;;;
Томмот;;Якутия;;в Томмоте;;;;
Томск;;Томская область;;в Томске;;;;
Топки;;Кемеровская область;;в Топках;;;;
Торжок;;Тверская область;;в Торжке;;;;
Торопец;;Тверская область;;в Торопце;;;;
Тосно;;Ленинградская область;;в Тосно;;;;
Тотьма;;Вологодская область;;в Тотьме;;;;
Трёхгорный;;Челябинская область;;в Трёхгорном;;;;
Троицк;;Челябинская область;;в Троицке;;;;
Трубчевск;;Брянская область;;в Трубчевске;;;;
Туапсе;;Краснодарский край;;в Туапсе;;;;
Туймазы;;Башкортостан;;в Туймазах;;;;
Тула;;Тульская область;;в Туле;;;;
Тулун;;Иркутская область;;в Тулуне;;;;
Туран;;Тыва;;в Туране;;;;
Туринск;;Свердловская область;;в Туринске;;;;
Тутаев;;Ярославская область;;в Тутаеве;;;;
Тында;;Амурская область;;в Тынде;;;;
Тырныауз;;Кабардино-Балкария;;в Тырныаузе;;;;
Тюкалинск;;Омская область;;в Тюкалинске;;;;
Тюмень;;Тюменская область;;в Тюмени;;;;
Уварово;;Тамбовская область;;в Уварово;;;;
Углегорск;;Сахалинская область;;в Углегорске;;;;
Углич;;Ярославская область;;в Угличе;;;;
Удачный;;Якутия;;в Удачном;;;;
Удомля;;Тверская область;;в Удомле;;;;
Ужур;;Красноярский край;;в Ужуре;;;;
Узловая;;Тульская область;;в Узловой;;;;
Улан-Удэ;;Бурятия;;в Улан-Удэ;;;;
Ульяновск;;Ульяновская область;;в Ульяновске;;;;
Унеча;;Брянская область;;в Унече;;;;
Урай;;Ханты-Мансийский АО;;в Урае;;;;
Урень;;Нижегородская область;;в Урене;;;;
Уржум;;Кировская область;;в Уржуме;;;;
Урус-Мартан;;Чечня;;в Урус-Мартане;;;;
Урюпинск;;Волгоградская область;;в Урюпинске;;;;
Усинск;;Коми;;в Усинске;;;;
Усмань;;Липецкая область;;в Усмани;;;;
Усолье-Сибирское;;Иркутская область;;в Усолье-Сибирском;;;;
Усолье;;Пермский край;;в Усолье;;;;
Уссурийск;;Приморский край;;в Уссурийске;;;;
Усть-Джегута;;Карачаево-Черкесия;;в Усть-Джегуте;;;;
Усть-Илимск;;Иркутская область;;в Усть-Илимске;;;;
Усть-Катав;;Челябинская область;;в Усть-Катаве;;;;
Усть-Кут;;Иркутская область;;в Усть-Куте;;;;
Усть-Лабинск;;Краснодарский край;;в Усть-Лабинске;;;;
Устюжна;;Вологодская область;;в Устюжне;;;;
Уфа;;Башкортостан;;в Уфе;;;;
Ухта;;Коми;;в Ухте;;;;
Учалы;;Башкортостан;;в Учалах;;;;
Уяр;;Красноярский край;;в Уяре;;;;
Фатеж;;Курская область;;в Фатеже;;;;
Феодосия;;Крым;;в Феодосии;;;;
Фокино;;Брянская область;;в Фокино;;;;
Фокино;;Приморский край;;в Фокино;;;;
Фролово;;Волгоградская область;;во Фролово;;;;
Фрязино;;Московская область;;во Фрязино;;;;
Фурманов;;Ивановская область;;в Фурманове;;;;
Хабаровск;;Хабаровский край;;в Хабаровске;;;;
Хадыженск;;Краснодарский край;;в Хадыженске;;;;
Ханты-Мансийск;;Ханты-Мансийский АО;;в Ханты-Мансийске;;;;
Харабали;;Астраханская область;;в Харабалях;;;;
Харовск;;Вологодская область;;в Харовске;;;;
Хасавюрт;;Дагестан;;в Хасавюрте;;;;
Хвалынск;;Саратовская область;;в Хвалынске;;;;
Хилок;;Забайкальский край;;в Хилке;;;;
Химки;;Московская область;;в Химках;;;;
Холм;;Новгородская область;;в Холме;;;;
Холмск;;Сахалинская область;;в Холмске;;;;
Хотьково;;Московская область;;в Хотьково;;;;
Цивильск;;Чувашия;;в Цивильске;;;;
Цимлянск;;Ростовская область;;в Цимлянске;;;;
Циолковский;;Амурская область;;в Циолковском;;;;
Чадан;;Тыва;;в Чадане;;;;
Чайковский;;Пермский край;;в Чайковском;;;;
Чапаевск;;Самарская область;;в Чапаевске;;;;
Чаплыгин;;Липецкая область;;в Чаплыгине;;;;
Чебаркуль;;Челябинская область;;в Чебаркуле;;;;
Чебоксары;;Чувашия;;в Чебоксарах;;;;
Чегем;;Кабардино-Балкария;;в Чегеме;;;;
Чекалин;;Тульская область;;в Чекалине;;;;
Челябинск;;Челябинская область;;в Челябинске;;;;
Чердынь;;Пермский край;;в Чердыни;;;;
Черемхово;;Иркутская область;;в Черемхово;;;;
Черепаново;;Новосибирская область;;в Черепаново;;;;
Череповец;;Вологодская область;;в Череповце;;;;
Черкесск;;Карачаево-Черкесия;;в Черкесске;;;;
Чёрмоз;;Пермский край;;в Чёрмозе;;;;
Черноголовка;;Московская область;;в Черноголовке;;;;
Черногорск;;Хакасия;;в Черногорске;;;;
Чернушка;;Пермский край;;в Чернушке;;;;
